Anos de estudo - média - pessoas 25 anos e mais
Sigla,Código,Estado,1990,1992,1993,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,
AC,12,Acre,4.8069323392,6.1885822334,5.5853917565,5.8410426548,5.7564170093,5.891098796,6.2416799159,6.2599468256,5.8705557057,6.1935246378,5.6453789499,5.1925445025,5.3703764048,5.6897300578,6.2911595806,6.5116671765,6.6530706796,
AL,27,Alagoas,2.853450248,3.7412211939,3.8133070846,3.8945812605,3.9356749226,4.3061629683,4.1686480861,4.1615333202,3.9100092017,3.982389875,4.3060615794,4.1831447619,4.2268911388,4.6769350424,4.8159409157,4.9735922963,5.0355105894,
AM,13,Amazonas,5.7987875748,6.2319233438,5.6761013191,6.0373270143,5.9338397955,6.1194706368,6.0569019112,6.2028720571,6.6552662588,6.8445074126,7.0715023679,6.674855596,6.8940114742,7.205733609,6.9619396823,7.1421838843,7.2191815827,
AP,16,Amapá,5.9842969867,5.5194224643,5.2440227883,5.4937364683,5.4932895035,6.1163438116,6.0404434293,6.2945287826,7.2844195773,6.6763737576,6.6559141334,6.7060754856,7.2864646677,7.4444788225,7.4896951733,7.8329087864,7.7018857128,
BA,29,Bahia,3.3895908471,3.2457657078,3.567434994,3.6269630366,3.8476315088,3.7764279208,3.9394463431,4.0196711092,4.3620995287,4.5609557703,4.6992141606,4.8846979821,5.0826128083,5.3079605994,5.3954923601,5.6981739873,5.8422629425,
CE,23,Ceará,2.9650599077,3.4064447155,3.442767867,3.6292456207,3.7452453304,3.826987462,3.9858021121,3.9970049449,4.4037680103,4.6485795421,4.7405393057,4.9624267778,5.0695403423,5.3533838009,5.5484714731,5.7134677836,5.8895425069,
DF,53,Distrito Federal,7.4901226722,7.4187428815,7.5883694776,7.7034767025,7.798846604,8.0372136636,8.1338614416,8.1444184528,8.2335966862,8.5433666715,8.7078130078,8.7533325004,8.9609213899,9.2141292426,9.3925594119,9.383870617,9.6430140252,
ES,32,Espírito Santo,4.8640362877,4.6854848776,4.9306469785,5.0408201953,5.230829245,5.2617081861,5.4570370282,5.6081908331,5.9769312897,6.0285053302,6.1654526715,6.5640561967,6.8335072367,6.7817690099,6.9713197075,6.9516497205,7.1625705877,
GO,52,Goiás,4.4149433265,4.7327477408,4.8508452659,4.8636731698,5.0709123196,5.2432929131,5.3157931041,5.3766962118,5.6441710436,5.7643743964,6.0177352818,6.2006758538,6.3084177411,6.5153236411,6.7297506505,6.8686470024,7.047195111,
MA,21,Maranhão,2.6313612555,2.8636142968,3.0520460103,3.2117201,3.3723531667,3.3598938931,3.5605357207,3.6155512165,4.138603023,4.1397847524,4.3133174671,4.5942622183,4.4976044318,4.812553044,5.228577401,5.3690886591,5.5723815022,
MG,31,Minas Gerais,4.6384368533,4.6044798601,4.7419395807,4.9192717509,5.0924924031,5.107901568,5.1952921342,5.3420950899,5.6798928806,5.7922972297,5.9328949874,6.096839822,6.1910951685,6.4475364132,6.6307131549,6.7563190911,6.934889354,
MS,50,Mato Grosso do Sul,4.6870385636,4.8451114772,4.9592134416,5.0648698485,5.2834530229,5.2643162598,5.5790695399,5.642688329,5.8716538027,6.1552466904,6.0840442338,6.1908385572,6.4363445724,6.5916506516,6.7411593563,6.9266351422,6.9380209398,
MT,51,Mato Grosso,4.3836260401,4.4998402578,4.6071990054,4.9286031351,4.918847825,5.1646133965,5.3661119393,5.3076782485,5.4577892165,5.9608577742,6.0142671103,6.1252989217,6.2319390513,6.2718958429,6.2501751704,6.8283610559,6.9741677796,
PA,15,Pará,5.1187221058,5.0087426748,4.9841508357,5.1183082385,5.3020279372,5.3288894826,5.3006725514,5.4814417615,5.9559091079,6.0619292657,6.0882481463,5.4162696624,5.6255333337,5.7450562603,5.9178110734,6.0924128149,6.1880191811,
PB,25,Paraíba,3.5469867345,3.6199805162,4.2640140786,3.9801874899,4.0387602314,4.3826130384,4.5945630699,4.8925946866,4.2773046361,4.4407935439,4.6023378839,4.7835276258,4.951982141,5.0298748112,5.1883974256,5.4659311641,5.5962283176,
PE,26,Pernambuco,3.8475339964,4.0347531961,4.1108397107,4.1920263141,4.5174504332,4.5087960957,4.64461154,4.6867309456,4.983237977,5.1327927876,5.2262645048,5.3963151585,5.5437926147,5.6791782444,5.7471760188,5.9875687613,6.1805539831,
PI,22,Piauí,2.5581475729,3.2310742532,3.167901011,3.3346367089,3.4620333585,3.5733904245,3.4774991221,3.6582632809,3.9422982317,4.040509094,4.1046356798,4.3678271778,4.4572889101,4.7096293668,4.9852450743,5.1165064434,5.1740113477,
PR,41,Paraná,4.5724241148,4.8443469526,4.9069903163,5.2302976502,5.2369139491,5.3796841241,5.5271350372,5.7278609083,6.0565471796,6.3252783813,6.5556232682,6.6630474763,6.761081263,7.034195544,7.137208529,7.4548188639,7.4905266858,
RJ,33,Rio de Janeiro,6.2409280063,6.3783875046,6.493110479,6.6907439482,6.9482151507,6.8249271882,6.9553404528,6.9631306216,7.2262727236,7.3368634173,7.4503208519,7.6091654272,7.7048251511,7.9791636619,8.1028911159,8.2399095738,8.2978418092,
RN,24,Rio Grande do Norte,3.736743645,3.9160733064,3.95234535,4.1978403973,4.404568134,4.474030062,4.5990315572,4.7872297208,5.0120720438,5.2030207357,5.1635557908,5.2055218015,5.5335153016,5.4858299324,5.7807953028,5.9671380269,6.1028536131,
RO,11,Rondônia,5.1165786365,5.3950926425,5.2919352987,5.6325959004,5.7330301582,5.6080610839,6.1832582854,6.2475731355,5.5837900242,5.8291810844,5.9891654435,5.6010500981,5.4987713514,5.6598031908,6.0549319707,6.0278456631,6.5198395996,
RR,14,Roraima,6.7368714959,5.467895875,6.5054197965,5.4933670335,6.1043519758,6.1920452081,6.3382528657,7.9053493281,5.2960269337,5.541045997,6.458452362,6.1513055039,6.1884598147,6.5319928727,6.8126760851,7.3105598995,7.5697813642,
RS,43,Rio Grande do Sul,5.3218082044,5.6133385394,5.7077120713,5.8225432111,6.05096572,6.0345304866,6.1956848336,6.3414515905,6.3610411406,6.4989580692,6.6706179048,6.8239491234,6.9127120959,7.0757264279,7.105079155,7.34313829,7.4677036854,
SC,42,Santa Catarina,4.9475532859,5.0928907183,5.3091694348,5.5913549543,5.6620185494,5.8704382589,5.8670806568,5.9072138894,6.3822479921,6.5586835372,6.8400259498,6.8751547863,7.1393532528,7.2528996829,7.3488437728,7.5951921989,7.7945750528,
SE,28,Sergipe,3.2878217158,4.0757875265,4.1275982372,4.2367867551,4.4335138657,4.570852371,4.6593050674,4.7295048485,4.9890068531,5.2470433319,5.5508764879,5.7639145029,5.4783008791,5.6293830223,6.081654644,6.3652633403,6.2982941324,
SP,35,São Paulo,5.6965587763,5.8365357099,5.9462833898,6.1332683904,6.2556811512,6.4712856168,6.6547592018,6.7147186779,6.9649508741,7.1507579561,7.3056763447,7.4349437368,7.548009215,7.796276126,7.9417051509,8.0515240887,8.2429559939,
